code,name,市场类型
000725,京东方Ａ,深圳
000726,鲁  泰Ａ,深圳
000727,冠捷科技,深圳
000728,国元证券,深圳
000729,燕京啤酒,深圳
000731,四川美丰,深圳
000733,振华科技,深圳
000735,罗 牛 山,深圳
000736,*ST中地,深圳
000737,北方铜业,深圳
000738,航发控制,深圳
000739,普洛药业,深圳
000750,国海证券,深圳
000751,锌业股份,深圳
000752,ST西发,深圳
000753,漳州发展,深圳
000755,山西高速,深圳
000756,新华制药,深圳
000757,浩物股份,深圳
000758,中色股份,深圳
000759,中百集团,深圳
000761,本钢板材,深圳
000762,西藏矿业,深圳
000766,通化金马,深圳
000767,晋控电力,深圳
000768,中航西飞,深圳
000776,广发证券,深圳
000777,中核科技,深圳
000778,新兴铸管,深圳
000779,甘咨询,深圳
000782,恒申新材,深圳
000783,长江证券,深圳
000785,居然智家,深圳
000786,北新建材,深圳
000788,北大医药,深圳
000789,万年青,深圳
000790,华神科技,深圳
000791,甘肃能源,深圳
000792,盐湖股份,深圳
000793,ST华闻,深圳
000795,英洛华,深圳
000796,凯撒旅业,深圳
000797,中国武夷,深圳
000798,中水渔业,深圳
000799,酒鬼酒,深圳
000800,一汽解放,深圳
000801,四川九洲,深圳
000802,北京文化,深圳
000803,山高环能,深圳
000807,云铝股份,深圳
000809,和展能源,深圳
000810,创维数字,深圳
000811,冰轮环境,深圳
000812,陕西金叶,深圳
000813,德展健康,深圳
000815,美利云,深圳
000816,智慧农业,深圳
000818,航锦科技,深圳
000819,岳阳兴长,深圳
000820,*ST节能,深圳
000821,京山轻机,深圳
000822,山东海化,深圳
000823,超声电子,深圳
000825,太钢不锈,深圳
000826,启迪环境,深圳
000828,东莞控股,深圳
000829,天音控股,深圳
000830,鲁西化工,深圳
000831,中国稀土,深圳
000833,粤桂股份,深圳
000837,秦川机床,深圳
000838,财信发展,深圳
000839,国安股份,深圳
000848,承德露露,深圳
000850,华茂股份,深圳
000851,*ST高鸿,深圳
000852,石化机械,深圳
000856,冀东装备,深圳
000858,五 粮 液,深圳
000859,国风新材,深圳
000860,顺鑫农业,深圳
000862,银星能源,深圳
000863,三湘印象,深圳
000868,安凯客车,深圳
000869,张  裕Ａ,深圳
000875,吉电股份,深圳
000876,新 希 望,深圳
000877,天山股份,深圳
000878,云南铜业,深圳
000880,潍柴重机,深圳
000881,中广核技,深圳
000882,华联股份,深圳
000883,湖北能源,深圳
000885,城发环境,深圳
000886,海南高速,深圳
000887,中鼎股份,深圳
000888,峨眉山Ａ,深圳
000889,中嘉博创,深圳
000890,法尔胜,深圳
000892,欢瑞世纪,深圳
000893,亚钾国际,深圳
000895,双汇发展,深圳
000897,津滨发展,深圳
000898,鞍钢股份,深圳
000899,赣能股份,深圳
000900,现代投资,深圳
000901,航天科技,深圳
000902,新洋丰,深圳
000903,ST云动,深圳
000905,厦门港务,深圳
000906,浙商中拓,深圳
000908,ST景峰,深圳
000909,ST数源,深圳
000910,大亚圣象,深圳
000911,广农糖业,深圳
000912,泸天化,深圳
000913,钱江摩托,深圳
000915,华特达因,深圳
000917,电广传媒,深圳
